"FACT FCODE","TRIMX FCODE","Class","Label","Attributes","Color","LineWidth","LinePattern","Visible"
"BR90000110","BR90000110","Building","Building (symbolized)",,,,,TRUE
"CG33250000","CG33250000","Building","Weigh Scale",,,,,TRUE
"CG33250100","CG33250100","Building","Weigh Scale (symbolized)",,,,,TRUE
"CQ16350000","CQ16350000","Building","Lighthouse (symbolized)",,,,,TRUE
"CR01600120","CR01600120","Building","Road Barrier (symbolized)",,,,,TRUE
"DD31000000","DD31000000","Building","Toll Gate",,,,,TRUE
"DD91000000","DD91000000","Building","Toll Gate (symbolized)",,,,,TRUE
,,"BuiltupArea","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"AR03400000","AR03400000","BuiltupArea",,,"black",0.25,,TRUE
,,"CadastralPoint","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"FD90500000","FD90500000","CadastralPoint","Cadastral Point",,,,,TRUE
,,"Canal",,,"blue",0.25,,TRUE
,,"Canal","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"GA03950000","GA03950000","Canal","Canal","canalType=canal","blue",0.25,,TRUE
"GA05200000","GA05200000","Canal","Channel","canalType=channel","blue",0.25,,TRUE
"GA05200110","GA05200110","Canal","Channel Right Bank","canalType=channelRighttBank","blue",0.25,,TRUE
"GA05200120","GA05200120","Canal","Channel Left Bank","canalType=channelLeftBank","blue",0.25,,TRUE
"GA08800110","GA08800110","Canal","Ditch","canalType=ditch","blue",0.25,,TRUE
"GA08800130","GA08800130","Canal","Ditch Indefinite","canalType=ditchIndefinite","blue",0.25,,TRUE
"GA11500000","GA11500000","Canal","Flume","canalType=flume","blue",0.25,,TRUE
"GA93950110","GA93950110","Canal","Canal Left Bank","canalType=canalLeftBank","blue",0.25,,TRUE
"GA93950120","GA93950120","Canal","Canal Right Bank","canalType=canalRightBank","blue",0.25,,TRUE
,,"CliffScarp","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"HB05650000","HB05650000","CliffScarp","Cliff Scarp",,,,,TRUE
,,"CliffTerrainDropOff","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"HB05650100","HB05650100","CliffTerrainDropOff","Cliff Dropoff Definite",,,,,TRUE
"HB05650200","HB05650200","CliffTerrainDropOff","Cliff Dropoff Indefinite",,,,,TRUE
,,"Coastline","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"GG05800000","GG05800000","Coastline","Coastline Definite",,,,,TRUE
"GG95800130","GG95800130","Coastline","Coastline Indefinite",,,,,TRUE
"FB18450000","FB18450000","ControlPoint","Horizontal",,,,,TRUE
"FB18650000","FB18650000","ControlPoint","Vertical",,,,,TRUE
,,"CorridorLandmark",,,"black",0.25,,TRUE
,,"CorridorLandmark","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"AR27550100","AR27550100","CorridorLandmark","Pipeline Right of Way","corridorLandmarkType=rightOfWayPipeline","black",0.25,,TRUE
"CL27800000","CL27800000","CorridorLandmark","Ski Lift","corridorLandmarkType=skiLift","black",0.25,,TRUE
"CQ00300000","CQ00300000","CorridorLandmark","Aerial Cableway","corridorLandmarkType=aerialCableway","black",0.25,,TRUE
"CQ06400000","CQ06400000","CorridorLandmark","Conveyor","corridorLandmarkType=conveyor","black",0.25,,TRUE
"EA03800000","EA03800000","CorridorLandmark","Cable","corridorLandmarkType=cable","black",0.25,,TRUE
"EA16400120","EA16400120","CorridorLandmark","Transmission Line","corridorLandmarkType=transmissionLine","black",0.25,,TRUE
"EA21400000","EA21400000","CorridorLandmark","Pipeline","corridorLandmarkType=pipeline","black",0.25,,TRUE
"FA02650000","FA02650000","CorridorLandmark","Boundary International","corridorLandmarkType=boundaryInternational","black",0.25,,TRUE
"FA02700000","FA02700000","CorridorLandmark","Boundary Interprovincial","corridorLandmarkType=boundaryInterprovincial","black",0.25,,TRUE
"JA08400000","JA08400000","CorridorLandmark","Cut Line/Seismic Line","corridorLandmarkType=cutLineSeismicLine","black",0.25,,TRUE
"DD08500000","DD08500000","Culvert","Culvert",,,,,TRUE
"DD98500000","DD98500000","Culvert","Culvert (symbolized)",,,,,TRUE
,,"DamSection",,,"black",0.25,,TRUE
"GA08450000","GA08450000","DamSection","Dam Top","damSectionType=top","black",0.25,,TRUE
"GA28550000","GA28550000","DamSection","Spillway/Penstock","damSectionType=spillwayPenstock","black",0.25,,TRUE
"GA98450000","GA98450000","DamSection","Dam","damSectionType=","black",0.25,,TRUE
"GA98450100","GA98450100","DamSection","Dam base","damSectionType=base","black",0.25,,TRUE
,,"DEMPoint",,,"black",0.25,,FALSE
,,"DEMPoint","Retired","updateHistory.retirementHistory!=","black",0.25,,FALSE
"HA90100000","HA90100000","DEMPoint","DEM Spot Elevation","demPointType=spotHeight","black",0.25,,TRUE
"HA90100110","HA90100110","DEMPoint","DEM Spot Elevation  Indefinite ","demPointType=indefinite","brown",0.25,,TRUE
"HA90300000","HA90300000","DEMPoint","DEM Spot Elevation Hybrid","demPointType=hybrid","red",0.25,,TRUE
"HA90400000",,"DEMPoint","DEM Spot Elevation Check","demPointType=precise","purple",0.25,,TRUE
"AB33850000","AB33850000","DesignatedArea","Yard",,,,,TRUE
"AB33850110","AB33850110","DesignatedArea","Auto Wrecker",,,,,TRUE
"AB33850140","AB33850140","DesignatedArea","LumberYard",,,,,TRUE
"AB33850150","AB33850150","DesignatedArea","StockYard",,,,,TRUE
