"FACT FCODE","TRIMX FCODE","Class","Label","Attributes","Color","LineWidth","LinePattern","Visible"
"DA25100360","DA25100360","Road","Paved6LanesTwoWayUnderConstruction","surfaceType=paved,numberOfLanes=6,divided=false,underConstruction=true","green",0.25,"0.5,0.5",TRUE
"DA25050200","DA25050200","Road","Paved6LanesTwoWayDivided","surfaceType=paved,numberOfLanes=6,divided=true,underConstruction=false","purple",0.25,"3,2,0.5,2,0.5,2",TRUE
"DA25050330","DA25050330","Road","Paved6LanesTwoWayDividedUnderConstruction","surfaceType=paved,numberOfLanes=6,divided=true,underConstruction=true","green",0.25,"3,1,2,1",TRUE
"DA25150000","DA25150000","Road","Rough","surfaceType=rough","orange",0.25,"1.5,1.5",TRUE
"DA25200000","DA25200000","Road","Seasonal1LaneTwoWay (Winter Road)","surfaceType=seasonal","?","?","?",TRUE
"DA24900900","DA24900900","Road","Unknown Road","surfaceType=unknown","red",0.25,,TRUE
"HB25000100","HB25000100","RockBluff","Rock Bluff",,,,,TRUE
"HB25400000","HB25400000","RockOutcrop","Rock Outcrop",,,,,TRUE
"HB25400100","HB25400100","RockOutcrop","RockOutcrop (symbolized)",,,,,TRUE
,,"SandGravelBar",,,"brown",0.25,,TRUE
,,"SandGravelBar","Retired","updateHistory.retirementHistory!=","brown",0.25,"3,3",FALSE
"BB01350001",,"SandGravelBar","Top of Bank","sandGravelBarType=sandGravelBar","brown",0.25,"3,3",TRUE
"GE25850000","GE25850000","SandGravelBar","Sand/Gravel Bar","sandGravelBarType=sandGravelBar","brown",0.25,"3,3",TRUE
"GE25850250","GE25850250","SandGravelBar","Top of Bank","sandGravelBarType=topOfBank","brown",0.25,"3,3",TRUE
"HB26150000","HB26150000","Scree","Scree",,,,,TRUE
"GE26250000","GE26250000","SeaWall","Sea Wall",,,,,TRUE
"HB27550000","HB27550000","Sinkhole","Sinkhole (symbolized)",,,,,TRUE
"CL27750000","CL27750000","SkiJump","Ski Jump",,,,,TRUE
,,"Slide",,,"black",0.25,"3,2,.5,2,3",TRUE
,,"Slide","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"HB27900000","HB27900000","Slide","Slide",,,,,TRUE
"HB27900100",,"Slide","Slide Enhanced",,,,,TRUE
,,"Snowshed",,,"black",0.25,,TRUE
,,"Snowshed","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"DD28350000","DD28350000","Snowshed","Snowshed",,"black",0.25,,TRUE
"HA28700000","HA28700000","SpotElevation","Spot Height",,,,,TRUE
"HA33100000","HA33100000","SpotElevation","Water Level",,,,,TRUE
"HB18800000","HB18800000","SpotElevation","Mountain Peak (symbolized)",,,,,TRUE
,,"TailingArea",,,"black",0.25,"3,1.5",TRUE
,,"TailingArea","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"AP30300000","AP30300000","TailingArea","Tailing Area",,"black",0.25,"3,1.5",TRUE
,,"TailingPond",,,"black",0.25,,TRUE
,,"TailingPond","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"AP90300100","AP90300100","TailingPond","Tailing Pond",,"black",0.25,,TRUE
,,"Tank",,,"black",0.25,,TRUE
,,"Tank","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"EA30400000","EA30400000","Tank","Tank",,"black",0.25,,TRUE
"EA90000000","EA90000000","Tank","Tank (symbolized)",,,,,TRUE
"KC90300000","KC90300000","Toponymy","Toponymy",,,,,TRUE
"BF10950120","BF10950120","Tower","Fire Lookout Tower (symbolized)",,,,,TRUE
"CC31150000","CC31150000","Tower","Unspecified Tower (symbolized)",,,,,TRUE
"CC31150110","CC31150110","Tower","Microwave Tower (symbolized)",,,,,TRUE
"CC90000000","CC90000000","Tower","Transmission Tower (symbolized)",,,,,TRUE
"CG28300000","CG28300000","Tower","Smokestack/Chimney (symbolized)",,,,,TRUE
,,"Trail",,,"brown",0.25,"1.5,1.5",TRUE
,,"Trail","Retired","updateHistory.retirementHistory!=","brown",0.25,"3,3",FALSE
"DD31700000","DD31700000","Trail","Trail ","trailType=","brown",0.25,"1.5,1.5",TRUE
"DD31700120","DD31700120","Trail","Trail skid","trailType=skid","brown",0.25,"1.5,1.5",TRUE
,,"TrimContour","Retired","updateHistory.retirementHistory!=","brown",0.25,"3,3",FALSE
"HA90001140","HA90001140","TrimContour","Indefinite Depression Contour","indexContour=false,position.qualifier=indefinite,position.form=depression","brown",0.25,,TRUE
"HA90001130","HA90001130","TrimContour","Intermediate Depression Contour","indexContour=false,position.form=depression","brown",0.25,,TRUE
"HA90001110","HA90001110","TrimContour","Indefinite Intermediate Contour","indexContour=false,position.qualifier=indefinite","brown",0.25,,TRUE
"HA90001000","HA90001000","TrimContour","Intermediate Contour","indexContour=false","brown",0.25,,TRUE
"HA90000140","HA90000140","TrimContour","Indefinite Depression Index Contour","indexContour=true,position.form=depression,position.qualifier=indefinite","black",0.25,,TRUE
"HA90000130","HA90000130","TrimContour","Index Depression Contour","indexContour=true,position.form=depression","black",0.25,,TRUE
"HA90000110","HA90000110","TrimContour","Indefinite  Index Contour","indexContour=true,position.qualifier=indefinite","black",0.25,,TRUE
"HA90000000","HA90000000","TrimContour","Index Contour","indexContour=true","black",0.25,,TRUE
,,"TrimContour",,,"brown",0.25,,FALSE
,,"Tunnel",,,"black",0.25,,TRUE
,,"Tunnel","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"DD93220000","DD93220000","Tunnel","Tunnel",,"black",0.25,,TRUE
,,"Turntable",,,"black",0.25,,TRUE
,,"Turntable","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"DD32300000","DD32300000","Turntable","Turntable (symbolized)",,"black",0.25,,TRUE
,,"VolcanicCrater",,,"black",0.25,"3,1.5",TRUE
,,"VolcanicCrater","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"HB07650130","HB07650130","VolcanicCrater","Volcanic Crater",,"black",0.25,"3,1.5",TRUE
