4400	9906	east	9001	1
4400	9907	north	9001	2
4401	9906	east	9062	1
4401	9907	north	9062	2
4402	9906	east	9042	1
4402	9907	north	9042	2
4403	9906	east	9005	1
4403	9907	north	9005	2
4404	9906	east	9094	1
4404	9907	north	9094	2
4405	9906	east	9041	1
4405	9907	north	9041	2
4406	9906	east	9036	1
4406	9907	north	9036	2
4407	9906	east	9039	1
4407	9907	north	9039	2
4408	9906	east	9084	1
4408	9907	north	9084	2
4409	9906	east	9040	1
4409	9907	north	9040	2
4410	9906	east	9301	1
4410	9907	north	9301	2
4461	9929	up	9001	3
4461	9930	east	9001	1
4461	9931	north	9001	2
4462	9906	South along 180°W	9001	1
4462	9907	South along 90°W	9001	2
4463	9906	South along 100°E	9001	1
4463	9907	South along 170°W	9001	2
4464	9906	South along 90°W	9001	1
4464	9907	South along 0°E	9001	2
4465	9906	South along 50°E	9001	1
4465	9907	South along 140°E	9001	2
4466	9906	South along 10°W	9001	1
4466	9907	South along 80°E	9001	2
4467	9906	South along 60°W	9001	1
4467	9907	South along 30°E	9001	2
4468	9906	South along 45°E	9001	1
4468	9907	South along 135°E	9001	2
4469	9906	South along 90°E	9001	1
4469	9907	South along 180°E	9001	2
4470	9906	North along 90°E	9001	1
4470	9907	North along 0°E	9001	2
4471	9906	North along 75°W	9001	1
4471	9907	North along 165°W	9001	2
4472	9906	North along 60°W	9001	1
4472	9907	North along 150°W	9001	2
4473	9906	North along 45°W	9001	1
4473	9907	North along 135°W	9001	2
4474	9906	North along 15°W	9001	1
4474	9907	North along 105°W	9001	2
4475	9906	North along 0°E	9001	1
4475	9907	North along 90°W	9001	2
4476	9906	North along 15°E	9001	1
4476	9907	North along 75°W	9001	2
4477	9906	North along 45°E	9001	1
4477	9907	North along 45°W	9001	2
4478	9906	North along 60°E	9001	1
4478	9907	North along 30°W	9001	2
4479	9906	North along 75°E	9001	1
4479	9907	North along 15°W	9001	2
4480	9906	North along 105°E	9001	1
4480	9907	North along 15°E	9001	2
4481	9906	North along 120°E	9001	1
4481	9907	North along 30°E	9001	2
4482	9906	North along 135°E	9001	1
4482	9907	North along 45°E	9001	2
4483	9906	North along 165°E	9001	1
4483	9907	North along 75°E	9001	2
4484	9906	North along 180°E	9001	1
4484	9907	North along 90°E	9001	2
4485	9906	North along 165°W	9001	1
4485	9907	North along 105°E	9001	2
4486	9906	North along 135°W	9001	1
4486	9907	North along 135°E	9001	2
4487	9906	North along 120°W	9001	1
4487	9907	North along 150°E	9001	2
4488	9906	North along 105°W	9001	1
4488	9907	North along 165°E	9001	2
4489	9906	North along 160°E	9001	1
4489	9907	North along 70°E	9001	2
4490	9906	North along 90°E	9001	1
4490	9907	North along 0°E	9001	2
4491	9907	north	9001	2
4491	9908	west	9001	1
4492	9913	North along 130°W	9001	1
4492	9914	North along 140°E	9001	2
4493	9906	South along 90°E	9001	2
4493	9907	South along 180°E	9001	1
4494	9906	North along 90°E	9001	2
4494	9907	North along 0°E	9001	1
4495	9906	east	9002	1
4495	9907	north	9002	2
4496	9906	east	9001	1
4496	9907	north	9001	2
4497	9906	east	9003	1
4497	9907	north	9003	2
4498	9906	east	9001	1
4498	9907	north	9001	2
4499	9906	east	9001	1
4499	9907	north	9001	2
4500	9906	east	9001	2
4500	9907	north	9001	1
4501	9907	north	9001	1
4501	9908	west	9001	2
4502	9906	east	9005	2
4502	9907	north	9005	1
4530	9906	east	9001	2
4530	9907	north	9001	1
4531	9906	east	9001	2
4531	9907	north	9001	1
4532	9906	east	9001	2
4532	9907	north	9001	1
4533	9906	east	9098	2
4533	9907	north	9098	1
4534	9906	east	9001	2
4534	9907	north	9001	1
6401	9901	north	9108	1
6401	9902	east	9108	2
6401	9903	up	9001	3
6402	9901	north	9108	1
6402	9902	east	9108	2
6403	9901	north	9105	1
6403	9902	east	9105	2
6404	9926	north	9122	1
6404	9927	east	9122	2
6404	9928	up	9001	3
6405	9901	north	9102	1
6405	9902	east	9102	2
6406	9901	north	9116	1
6406	9902	east	9116	2
6407	9901	north	9117	1
6407	9902	east	9117	2
6408	9901	north	9115	1
6408	9902	east	9115	2
6409	9901	north	9118	1
6409	9902	east	9118	2
6410	9901	north	9119	1
6410	9902	east	9119	2
6411	9901	north	9107	1
6411	9902	east	9107	2
6412	9901	north	9120	1
6412	9902	east	9120	2
6413	9901	north	9102	1
6413	9902	east	9102	2
6413	9903	up	9001	3
6414	9901	north	9116	1
6414	9902	east	9116	2
6414	9903	up	9001	3
6415	9901	north	9117	1
6415	9902	east	9117	2
6415	9903	up	9001	3
6416	9901	north	9115	1
6416	9902	east	9115	2
6416	9903	up	9001	3
6417	9901	north	9118	1
6417	9902	east	9118	2
6417	9903	up	9001	3
6418	9901	north	9119	1
6418	9902	east	9119	2
6418	9903	up	9001	3
6419	9901	north	9107	1
6419	9902	east	9107	2
6419	9903	up	9001	3
6420	9901	north	9120	1
6420	9902	east	9120	2
6420	9903	up	9001	3
6421	9901	north	9105	1
6421	9902	east	9105	2
6421	9903	up	9001	3
6422	9901	north	9122	1
6422	9902	east	9122	2
6423	9901	north	9122	1
6423	9902	east	9122	2
6423	9903	up	9001	3
6424	9901	north	9122	2
6424	9902	east	9122	1
6425	9901	north	9105	2
6425	9902	east	9105	1
6426	9901	north	9122	2
6426	9902	east	9122	1
6426	9903	up	9001	3
6427	9901	north	9105	2
6427	9902	east	9105	1
6427	9903	up	9001	3
6428	9901	north	9101	1
6428	9902	east	9101	2
6429	9901	north	9101	2
6429	9902	east	9101	1
6430	9901	north	9101	1
